Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Trinidad and Tobago,0,1,-1,-1.892572748296196,-1.6707675027289606
Tunisia,0,1,-1,0.03964054095648273,-0.882891246389849
Turkiye,0,1,-1,-2.105862124997269,-0.7818978626986944
Turkmenistan,0,1,-1,0.40752686878356303,-0.9834510224807784
Turks and Caicos Islands,0,1,-1,-1.7566380881756498,-1.65978197169182
Tuvalu,0,1,-1,-0.878438754836376,-1.5050304870204185
Uganda,0,1,-1,6.152161463952989,0.9407317324268695
Ukraine,0,1,-1,-4.162433223824946,-1.552786809840182
United Arab Emirates,0,1,-1,-1.8779184553202979,-1.293109562376702
United Kingdom,0,1,-1,-4.152976095909402,-1.7869258620483863
United States,0,1,-1,-6.505648304522853,4.097086646923036
Upper middle income,1,0,-1,-11.229338505176443,29.792506340329755
Uruguay,0,1,-1,-2.536830745765849,-1.8638107813945533
Uzbekistan,0,1,-1,0.8999562436407449,-0.6363131931425023
Vanuatu,0,1,-1,2.227793221538573,-0.6837806903508472
"Venezuela, RB",0,1,-1,-1.8672815068371056,-1.1981736519937816
Viet Nam,0,1,-1,-0.5174396925305086,-0.23587799633440662
Virgin Islands (U.S.),0,1,-1,-2.4531004450094094,-1.9781596416912643
West Bank and Gaza,0,1,-1,1.4504852126881573,-0.6185242909455256
"Yemen, Rep.",0,1,-1,4.524642005490079,0.7720919565887036
Zambia,0,1,-1,5.527083280626731,0.6304420057788378
Zimbabwe,0,1,-1,3.8590661780066715,0.1469193386523762
