Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Grenada,0,0,-1,0.17673850567346885,-1.069282943845515
Guam,0,0,-1,0.20258114199173047,0.04179286409165953
Guatemala,0,0,-1,2.5165649557653564,1.4628812802651632
Guinea,0,0,-1,4.246781116150215,-0.19103903618991047
Guinea-Bissau,0,0,-1,7.529891848377148,-0.5452290648191893
Guyana,0,0,-1,4.056054942994634,-2.6109338708431373
Haiti,0,0,-1,-1.06023058089049,-3.0308172025818108
Heavily indebted poor countries (HIPC),0,0,-1,0.9521559522820847,0.7493811092032564
Honduras,0,0,-1,1.562322442152915,-0.44511294163262805
"Hong Kong SAR, China",0,0,-1,-3.37019435896597,3.421156318993698
Hungary,0,0,-1,-1.6395023429963276,1.935098219771281
IBRD only,0,0,-1,-0.17724002502947592,-0.4408737138945004
IDA & IBRD total,0,0,-1,0.2451478232710118,0.08840605287400824
IDA blend,0,0,-1,0.8383817379872627,0.4340134106605026
IDA only,0,0,-1,0.7206489444078328,0.5277585221260648
IDA total,0,0,-1,0.780535221245698,0.5777757835475306
Iceland,0,0,-1,0.7681100032686402,0.48140874801428407
India,0,0,-1,0.7255645607988677,1.4134480278598343
Indonesia,0,0,-1,2.334211375686954,1.7812110161526906
"Iran, Islamic Rep.",0,0,-1,-1.480805870306837,-1.7800066897333287
Iraq,0,0,-1,-2.536059338993753,-3.830114399265366
Ireland,0,0,-1,-1.9946141232174186,3.5330476812393554
Isle of Man,0,0,-1,-2.7245703440605147,0.19725346407477928
Israel,0,0,-1,-1.4491993999551123,2.266677619733611
Italy,0,0,-1,-5.284283187019673,0.12199627272612412
Jamaica,0,0,-1,0.32781263633477675,-1.1390854300120377
Japan,0,0,-1,-2.931886529304742,5.696299662937901
Jordan,0,0,-1,-4.686148169855979,-4.160066058598764
Kazakhstan,0,0,-1,1.7565292785562818,1.249961899130899
Kenya,0,0,-1,4.814731341786112,-0.4678280976330981
Kiribati,0,0,-1,3.2242236895250644,-0.5830807914591917
"Korea, Dem. People's Rep.",0,0,-1,1.344730454320686,1.1404712922863758
"Korea, Rep.",0,0,-1,-1.3008337364551394,3.93309616730089
Kosovo,0,0,-1,1.080126431592206,-1.0600921830938936
Kuwait,0,0,-1,-0.12917891167300505,0.9374475707151712
Kyrgyz Republic,0,0,-1,3.1434838041609754,0.68009176179338
Lao PDR,0,0,-1,5.203050843571696,1.1221935539187027
Late-demographic dividend,0,0,-1,0.5128838068232499,0.34258300299171557
Latin America & Caribbean,0,0,-1,-2.4309331389936997,2.9069562067315595
